genename	element
GRMZM2G099319	TF
GRMZM2G370026	TF
GRMZM2G123461	TF
GRMZM2G175955	TF
GRMZM2G379179	TF
GRMZM2G110135	TF
AC186606.4_FG003	TF
GRMZM2G113127	TF
GRMZM2G170299	TF
GRMZM2G037493	TF
GRMZM5G879527	TF
AC234203.1_FG011	TF
GRMZM2G160917	TF
GRMZM2G022499	TF
GRMZM2G430522	TF
GRMZM2G169270	TF
GRMZM2G016079	TF
GRMZM2G480434	TF
GRMZM2G033656	TF
GRMZM2G046443	TF
GRMZM2G169820	TF
GRMZM2G061542	TF
GRMZM2G132667	TF
GRMZM2G337139	TF
GRMZM5G828396	TF
GRMZM2G179366	TF
GRMZM2G148220	TF
AC213524.3_FG003	TF
GRMZM2G159397	TF
GRMZM2G098986	TF
GRMZM2G054252	TF
GRMZM2G159996	TF
GRMZM5G882527	TF
GRMZM2G309731	TF
GRMZM2G332294	TF
GRMZM2G472671	TF
GRMZM2G175280	TF
GRMZM2G107031	TF
GRMZM2G175856	TF
GRMZM2G164909	TF
GRMZM2G142962	TF
GRMZM2G134735	TF
GRMZM2G478417	TF
GRMZM2G369472	TF
GRMZM2G082630	TF
GRMZM2G346920	TF
GRMZM2G028386	TF
GRMZM2G340305	TF
GRMZM2G171934	TF
GRMZM2G084583	TF
GRMZM2G037650	TF
GRMZM2G042407	TF
GRMZM2G163745	TF
GRMZM2G050851	TF
GRMZM2G022945	Coreg
GRMZM2G469162	Coreg
GRMZM2G152877	Coreg
GRMZM2G030529	Coreg
GRMZM2G057466	Coreg
GRMZM2G385236	Coreg
GRMZM2G335438	Coreg
GRMZM2G099328	Coreg
GRMZM2G079957	Coreg
AC186524.3_FG005	Coreg
GRMZM2G040509	Coreg
GRMZM2G404188	Coreg
GRMZM2G026664	Coreg
GRMZM2G424241	Coreg
GRMZM2G033828	Coreg
GRMZM2G139683	Coreg
GRMZM5G866423	TF
GRMZM2G048403	TF
GRMZM2G131266	TF
GRMZM2G438438	TF
GRMZM2G024468	TF
GRMZM2G131937	TF
GRMZM2G152543	TF
GRMZM2G117193	TF
GRMZM2G428555	TF
GRMZM2G079123	TF
GRMZM2G107276	TF
GRMZM2G166687	TF
GRMZM2G052045	TF
GRMZM2G106558	TF
GRMZM2G056400	TF
GRMZM2G324999	TF
AC217910.3_FG006	TF
GRMZM2G061487	TF
GRMZM2G003304	TF
GRMZM2G146286	TF
GRMZM2G090264	TF
GRMZM2G113742	TF
GRMZM2G167824	TF
GRMZM2G456452	TF
GRMZM2G113202	TF
GRMZM2G469551	TF
GRMZM2G153233	TF
GRMZM2G085974	TF
GRMZM2G042704	TF
GRMZM2G147346	TF
GRMZM2G001699	TF
GRMZM2G133555	TF
GRMZM2G379656	TF
GRMZM2G365731	TF
GRMZM2G001606	TF
GRMZM2G001592	TF
GRMZM2G001577	TF
GRMZM2G095452	TF
GRMZM2G027688	TF
GRMZM2G010871	TF
GRMZM2G070673	TF
GRMZM2G110531	TF
GRMZM2G138455	TF
GRMZM2G097349	TF
GRMZM2G024680	TF
GRMZM2G145412	TF
GRMZM2G145458	TF
AC217264.3_FG005	TF
GRMZM2G011832	TF
GRMZM2G034217	TF
GRMZM2G335814	TF
GRMZM2G038988	TF
GRMZM5G829103	TF
GRMZM5G812926	TF
GRMZM2G023291	TF
GRMZM2G319215	TF
GRMZM2G121570	TF
GRMZM2G165042	TF
GRMZM2G366584	TF
GRMZM2G039187	TF
GRMZM2G070211	TF
GRMZM2G031120	TF
GRMZM2G039074	TF
GRMZM2G098063	TF
GRMZM2G088413	TF
GRMZM2G088427	TF
GRMZM2G344521	TF
GRMZM2G045678	TF
GRMZM2G154320	TF
GRMZM2G172506	TF
GRMZM2G017319	TF
GRMZM2G010100	TF
GRMZM2G011588	TF
GRMZM2G163761	TF
GRMZM2G018414	TF
GRMZM2G061101	TF
GRMZM2G095899	TF
GRMZM2G120021	TF
GRMZM2G155043	TF
GRMZM2G447176	TF
GRMZM2G149219	TF
GRMZM2G085873	TF
GRMZM2G181276	TF
GRMZM2G068476	TF
GRMZM2G351232	TF
GRMZM2G091964	TF
GRMZM2G180979	TF
GRMZM2G164084	TF
GRMZM2G453296	TF
AC233950.1_FG002	TF
GRMZM2G144744	TF
GRMZM2G041818	TF
GRMZM2G144346	TF
GRMZM5G899865	TF
GRMZM5G865626	TF
