genename	element
PTSo00340.1	TF
PTSo01134.1	TF
PTSo00880.1	TF
PTSo00488.1	TF
PTSo00876.1	TF
SCRFLR2038B03.g	TF
SCEQRT1029C12.g	TF
SCCCLB1C06H02.g	TF
PTSo00040.1	TF
SCCCLR1C08B12.g	TF
SCVPAM1056H10.g	TF
PTSo01013.1	TF
PTSo01075.1	TF
SCEQLR1050H05.g	TF
PTSo00004.1	TF
SCACLR2007C06.g	TF
SCRLFL1006E01.g	TF
PTSo00410.1	TF
SCJLFL4101C11.g	TF
SCCCCL6005A08.g	TF
SCCCRT2C02H05.g	TF
SCCCLR2001E02.g	TF
PTSo01082.1	TF
PTSo00529.1	TF
PTSo00859.1	TF
SCRLAM1006H11.g	TF
PTSo00302.1	TF
SCSGAM2104A02.g	TF
PTSo00894.1	TF
PTSo01027.1	TF
PTSo00554.1	TF
SCVPRZ2042H05.g	TF
PTSo00329.1	TF
SCEPCL6018D08.g	TF
SCSFHR1045A01.g	TF
SCRLST3165E07.g	TF
PTSo00432.1	TF
SCCCLB1001C01.g	TF
PTSo00103.1	TF
PTSo00010.1	TF
SCUTRZ3072F12.g	TF
PTSo00062.1	TF
PTSo00033.1	TF
SCACLR2029F03.g	TF
SCEZRT2021G05.g	TF
PTSo00891.1	TF
PTSo00873.1	TF
PTSo00489.1	TF
SCAGFL1087G04.g	TF
SCSFST1064B01.g	TF
PTSo00485.1	TF
PTSo00012.1	TF
SCRUAD1132H03.g	TF
PTSo00461.1	TF
PTSo01104.1	TF
SCACLV1022E05.g	TF
SCCCFL5003B01.g	TF
SCSGRZ3062B09.g	TF
SCEZLB1008D09.g	TF
SCQGRT1042C12.g	TF
PTSo01064.1	TF
PTSo00342.1	TF
SCSGST1070F10.g	TF
SCCCLR1068H01.g	TF
SCACST3161A12.g	TF
PTSo00324.1	TF
PTSo00373.1	TF
PTSo00731.1	TF
PTSo00132.1	TF
SCACCL6006B05.g	TF
SCBGSB1028D02.g	TF
PTSo01012.1	TF
PTSo01043.1	TF
PTSo00486.1	TF
SCVPLB1019G11.g	TF
SCCCLR1070F08.g	TF
SCCCFL6001G05.g	TF
SCEPLR1030E11.g	TF
PTSo00440.1	TF
SCQGFL3056F02.g	TF
PTSo00433.1	TF
SCRUAD1132D09.g	TF
PTSo01106.1	TF
PTSo00549.1	TF
SCSGHR1072F11.g	TF
SCSBAD1051H11.g	TF
SCJFLR1073A05.g	TF
SCAGCL6013D01.g	TF
SCQSAM1031B04.g	TF
SCEPAM1021G03.g	TF
SCQSHR1023B08.g	TF
SCAGLR2011C10.g	TF
SCCCFL5060H05.g	TF
PTSo00502.1	TF
PTSo00098.1	TF
